,"Dodge & Cox Stock","Cash","Top Value","Top Growth","Mid Value","Mid Growth","Sm Value","Sm Growth"
06/01/99,4.55,0.41,3.7,7.01,1.14,6.98,3.62,5.27
07/01/99,-2.78,0.4,-3.11,-3.18,-2.5,-3.18,-2.37,-3.09
08/01/99,-1.42,0.42,-3.86,2.16,-3.46,-1.04,-3.66,-3.74
09/01/99,-4.41,0.41,-2.79,-2.34,-5.06,-0.85,-2,1.93
10/01/99,1.39,0.43,6.99,7.52,2.95,7.73,-2,2.56
11/01/99,1.45,0.45,-0.34,4.47,-1.83,10.36,0.52,10.57
12/01/99,4.63,0.46,-0.42,9.03,2.68,17.31,3.07,17.63
01/01/00,-4.96,0.47,-2.12,-5.67,-5.98,-0.02,-2.62,-0.93
02/01/00,-5.05,0.49,-8.74,1.26,-4.18,21.02,6.11,23.27
03/01/00,11.11,0.5,12.24,9.07,12.12,0.1,0.47,-10.51
04/01/00,2.45,0.5,-1.83,-3.51,0.4,-9.71,0.59,-10.1
05/01/00,2.13,0.52,0.76,-4.5,1.72,-7.29,-1.53,-8.76
06/01/00,-6.55,0.5,-4.94,6.87,-3.73,10.61,2.92,12.92
07/01/00,1.79,0.52,0.82,-3.75,2.34,-6.33,3.33,-8.57
08/01/00,4.84,0.54,5.34,7.89,6.13,15.08,4.47,10.52
09/01/00,-0.44,0.53,0.9,-10.4,0.96,-4.89,-0.57,-4.97
10/01/00,3.16,0.54,2.68,-4.27,1.9,-6.84,-0.36,-8.12
11/01/00,-0.3,0.54,-4.67,-13.24,-1.3,-21.73,-2.04,-18.16
12/01/00,8.56,0.53,3.47,-4.8,8.82,5.27,10.74,6.12
01/01/01,2.09,0.46,0.7,7.16,-0.36,5.71,2.76,8.09
02/01/01,0.23,0.43,-3.78,-16.91,-0.42,-17.3,-0.14,-13.71
03/01/01,-1.35,0.39,-3.87,-10.15,-2.77,-14.31,-1.6,-9.09
04/01/01,6.2,0.34,4.65,11.83,5.5,16.67,4.63,12.24
05/01/01,3.05,0.31,1.98,-1.68,2.84,-0.47,2.57,2.32
06/01/01,-1.95,0.3,-2.61,-2.82,-1.33,0.05,4.02,2.73
07/01/01,0.83,0.31,-0.14,-1.57,-0.4,-6.74,-2.24,-8.53
08/01/01,-1.88,0.29,-4.89,-8.37,-1.83,-7.25,-0.35,-6.24
09/01/01,-9.26,0.25,-5.99,-8.62,-9.54,-16.53,-11.04,-16.14
10/01/01,1.09,0.19,-1.42,4.24,0.53,10.51,2.61,9.62
11/01/01,8.16,0.16,5.33,9.37,7,10.77,7.19,8.35
12/01/01,2.83,0.15,1.62,-1.01,4.15,3.8,6.12,6.23
01/01/02,-0.19,0.14,-1.51,-1.45,1.01,-3.25,1.33,-3.56
02/01/02,0.81,0.15,-0.47,-3.83,1.63,-5.67,0.61,-6.47
03/01/02,4.25,0.16,4.57,2.59,5.11,7.63,7.49,8.69
04/01/02,-3.15,0.15,-4.91,-8.79,-0.07,-5.29,3.52,-2.16
05/01/02,1.36,0.15,0.8,-2.29,-0.15,-2.98,-3.31,-5.85
06/01/02,-4.46,0.15,-6.33,-8.84,-4.46,-11.04,-2.21,-8.48
07/01/02,-8.91,0.15,-9.09,-4.44,-9.79,-9.71,-14.86,-15.37
08/01/02,2.34,0.14,0.59,0.45,1.16,-0.35,-0.44,-0.05
09/01/02,-9.72,0.14,-11.54,-10.95,-10.1,-7.95,-7.14,-7.22
10/01/02,3.59,0.14,9.17,9.52,3.18,7.75,1.5,5.06
11/01/02,8.2,0.11,6.3,4.85,6.3,7.83,7.98,9.91
12/01/02,-3.59,0.1,-5.12,-7.12,-2.38,-6.04,-4.27,-6.9
01/01/03,-2.95,0.1,-2.28,-2.79,-2.77,-0.98,-2.82,-2.72
02/01/03,-2.35,0.1,-3.07,-0.35,-1.66,-0.87,-3.36,-2.67
03/01/03,-0.06,0.1,0.09,1.86,0.34,1.86,1.07,1.51
04/01/03,7.07,0.1,9.29,7.54,7.6,6.81,9.5,9.46
05/01/03,7.92,0.09,5.51,3.82,8.8,9.62,10.21,11.27
06/01/03,0.9,0.08,1.48,1.36,0.7,1.43,1.69,1.93
07/01/03,3.68,0.08,0.81,2.22,3.11,3.57,4.99,7.56
08/01/03,2.55,0.08,0.71,1.74,3.55,5.51,3.8,5.37
